;tweet;sentiment;content_clean
905;Cámbiame la birra por un fernet y listo ✅ 😋 https://t.co/wBad9SCSFj;POS;cámbiame la birra por un fernet y listo  emoji botón de marca de verificación emoji   emoji cara saboreando comida emoji  url
1811;Que lindo llegar a mi casa y que haya una coquita en la heladera 🤤🥵;POS;que lindo llegar a mi casa y que haya una coquita en la heladera  emoji cara babeando emoji  emoji cara con calor emoji
735;"""Inscriben para capacitarse como programadores, la mayor y mejor paga salida laboral de hoy"" vía @memodiario

 https://t.co/DWDV9rI4qX";POS;""" inscriben para capacitarse como programadores, la mayor y mejor paga salida laboral de hoy"" vía @usuario url"
736;@martinyeza @GloriaVintagee Pero Usted es el responsable de Pinamar, y en Pinamar no hay controles. Controle a los que venden, que son muchos y cuide a los y las jóvenes.;NEG;@usuario @usuario  pero  usted es el responsable de  pinamar, y en  pinamar no hay controles.  controle a los que venden, que son muchos y cuide a los y las jóvenes.
932;"@borja_zazo Fue el fantasma de Hamilton

Que netcode ni que leches 😂";NEG;@usuario  fue el fantasma de  hamilton  que netcode ni que leches  emoji cara llorando de risa emoji
208;El Programa PreViaje fue distinguido en Madrid https://t.co/FzLiBPHmFE;POS;el  programa  pre viaje fue distinguido en  madrid url
326;cuando no esta master cheff me siento vacia es como que no ver a Betular por un dia me rompe el alma;NEG;cuando no esta master cheff me siento vacia es como que no ver a  betular por un dia me rompe el alma
643;Compré el pan bimbo artesano en dia porque estaba en precios cuidados. Cambiaron la receta y ya no es mas esa nube esponjosa bajada del mismísimo cielo. No caigan en la trampa como yo.;NEG;compré el pan bimbo artesano en dia porque estaba en precios cuidados.  cambiaron la receta y ya no es mas esa nube esponjosa bajada del mismísimo cielo.  no caigan en la trampa como yo.
1152;@Wnrandom1 González, la derecha más potente del circuito. El Roger Federer del 2005 al 2007 era prácticamente invencible, solo podías ganarle en arcilla siempre y cuando fueras Rafael Nadal.;POS;@usuario  gonzález, la derecha más potente del circuito.  el  roger  federer del 2005 al 2007 era prácticamente invencible, solo podías ganarle en arcilla siempre y cuando fueras  rafael  nadal.
1493;bueno q ganas d una birra;POS;bueno q ganas d una birra
777;@sjfnurjwncbjrej @Omarsito1412 @Bargcelona10 que se gano con   en importancia ? 1 copa del rey ? te repito barca viene siendo importante con el conjunto de enanos que cambio el futbol antes era un equipo que solo competia no era que uff el barca nah ! son ni importante son en españa chico son el 2don eterno;NEG;@usuario @usuario @usuario que se gano con en importancia ? 1 copa del rey ? te repito barca viene siendo importante con el conjunto de enanos que cambio el futbol antes era un equipo que solo competia no era que uff el barca nah ! son ni importante son en españa chico son el 2don eterno
351;Mirando Master Cheff juntitos después de un bañito, sos el mejor compañero del mundo 🥰 https://t.co/Ct7kYaV7H7;POS;mirando  master  cheff juntitos después de un bañito, sos el mejor compañero del mundo  emoji cara sonriendo con corazones emoji  url
1462;Que hermoso terminar de changuear a esta hora y tomarse una buena birra bien fría 😝;POS;que hermoso terminar de changuear a esta hora y tomarse una buena birra bien fría  emoji cara con ojos cerrados y lengua fuera emoji
677;"@ssssoffii El 15/2/1952, el presidente Perón firmó un decreto y creó el Destacamento Aeronáutico Mar del Plata. Pero ahí surgió el inconveniente. Mindiptana ya había elegido las siglas “MDP”, con lo cual a los marplatenses no les quedó otra que conformarse con la identificación ""MDQ""";POS;"@usuario  el 15/2/1952, el presidente  perón firmó un decreto y creó el  destacamento  aeronáutico  mar del  plata.  pero ahí surgió el inconveniente.  mindiptana ya había elegido las siglas "" mdp"", con lo cual a los marplatenses no les quedó otra que conformarse con la identificación "" mdq"""
265;@malepichot Empresario que llegan a la política: Los  ;POS;@usuario  empresario que llegan a la política:  los
557;@midiazes @GabrielaFlorid2 Anda a dormir Mabel  chorro sos un cínico .basura;NEG;@usuario @usuario  anda a dormir  mabel chorro sos un cínico .basura
1904;"Ella:tranquilo amor, es solo una publicación... 
La publicación:
""Andar con un pobre no es fácil""";NEG;"ella:tranquilo amor, es solo una publicación...  la publicación:
"" andar con un pobre no es fácil"""
186;@acidolirico1 Y si no es el, será Pato ;POS;@usuario  y si no es el, será  pato
844;@rocioooay Decir que no estoy de acuerdo con venderse a  en 2019 es mala leche?;NEG;@usuario  decir que no estoy de acuerdo con venderse a en 2019 es mala leche?
498;@alternateb747 Los B-707 también tenían un pilón para llevar un motor de repuesto. Durante la Guerra de Malvinas  la FAA probo utilizarlo como bombardero. Pero termino  utilizando los pilones de los drops de un C-130 https://t.co/384yK9Twtx;POS;@usuario  los  b-707 también tenían un pilón para llevar un motor de repuesto.  durante la  guerra de  malvinas la  faa probo utilizarlo como bombardero.  pero termino utilizando los pilones de los drops de un  c-130 url
603;"@VivianaaFerrari Son todos comprados !!
NOM agenda 2023 !!
 y  viajando a EEUU la misma semana ??
Son IDIOTAS !!!";NEG;@usuario  son todos comprados !!  nom agenda 2023 !! y viajando a  eeuu la misma semana ??  son  idiotas !!!
1057;@kheayf sos lo más lindo q existe;POS;@usuario sos lo más lindo q existe
73;@abasara @Bonigallinarec1 @MarisaKlos Pasame data;POS;@usuario @usuario @usuario  pasame data
231;@francopassare @madorni Imagínate a una persona pobre que compra en el super la leche para su hijo y de los impuestos que tiene esa leche sale la plata para el previaje de alguien que se va de vacaciones, mientras a ese padre le alcanza para vivir al día. Te perece justo?;NEG;@usuario @usuario  imagínate a una persona pobre que compra en el super la leche para su hijo y de los impuestos que tiene esa leche sale la plata para el previaje de alguien que se va de vacaciones, mientras a ese padre le alcanza para vivir al día.  te perece justo?
1361;La de Patagonia también, je https://t.co/shCDh4tj1U;POS;la de  patagonia también, je url
479;"📢— YSY A EN MAR DEL PLATA.
Este 29/1 ve y disfruta a YSY A en Mar del Platrap.
Entradas: https://t.co/zqZOhciROb";POS;"emoji altavoz de mano emoji   ysy  a  en  mar  del  plata.
 este 29/1 ve y disfruta a  ysy  a en  mar del  platrap.
 entradas: url"
1101;"DE CARA AL 2023| Sin candidaturas confirmadas, pero con el horizonte puesto en las presidenciales, @   marca terreno en una gira que promete recorrer al menos 12 localidades de la provincia de Buenos Aires.
https://t.co/GHKIU4o2AM";POS;"de  cara  al 2023|  sin candidaturas confirmadas, pero con el horizonte puesto en las presidenciales, @usuario marca terreno en una gira que promete recorrer al menos 12 localidades de la provincia de  buenos  aires.
url"
530;@LVPargLoL @newpampasgg @stonesportsteam @RiverPlateGames @WAPEsports @MaycamEvolve @ _gaming @LeviatanGG @UndeadGamingOK @KRUesports @BocaJrsGaming @9zTeam Yendo no, llegando 🦁;POS;@usuario @usuario @usuario @usuario @usuario @usuario @usuario _gaming @usuario @usuario @usuario @usuario @usuario  yendo no, llegando  emoji león emoji
871;"@Faisaempordanes @Prokonover @Josevaazquez9 @ManuO1912 @SoyMotor @Max33Verstappen De tal manera que ese Safety Car no era necesario y la carrera podía continuar fueran 1 vuelta u 10 las que quedaran.

La única controversia viene con la manera desdoblarse. Que sólo se quitaran los coches entre Verstappen y Hamilton.

El reglamento no contempla nada sobre esto.";NEG;@usuario @usuario @usuario @usuario @usuario @usuario  de tal manera que ese  safety  car no era necesario y la carrera podía continuar fueran 1 vuelta u 10 las que quedaran.  la única controversia viene con la manera desdoblarse.  que sólo se quitaran los coches entre  verstappen y  hamilton.  el reglamento no contempla nada sobre esto.
1569;Extraño mucho a Diego Armando Maradona !!! 😥;POS;extraño mucho a  diego  armando  maradona !!!  emoji cara triste pero aliviada emoji
1729;@berth_mezzarro que lindo, lo escribiste vos?;POS;@usuario que lindo, lo escribiste vos?
59;Se creyeron lo de Álvarez a m city,🤣🤣🤣 Brito=  !!!!!!;NEG;se creyeron lo de álvarez a m city, emoji cara revolviéndose de la risa emoji  emoji cara revolviéndose de la risa emoji  emoji cara revolviéndose de la risa emoji   brito= !!!
153;@RiverLPM Pepino un genio,gracias por todas las alegrías dadas a los fanáticos del MAS GRANDE,RIVER PLATE!!🔴⚪🔴🇦🇹🇦🇹;POS;@usuario  pepino un genio,gracias por todas las alegrías dadas a los fanáticos del  mas  grande, river  plate!! emoji círculo rojo grande emoji  emoji círculo blanco emoji  emoji círculo rojo grande emoji  emoji bandera austria emoji  emoji bandera austria emoji
312;"https://t.co/6wdSHwXmpf 
Tras la muerte de Luana, cómo sigue la causa contra Diego Concha - El Diario de Carlos Paz https://t.co/SP0PRHQMNv";NEG;https://url  tras la muerte de  luana, cómo sigue la causa contra  diego  concha -  el  diario de  carlos  paz url
77;@De12a14 en la era   ponía el precio del dólar en la esquina inferior derecha con marco rojo todo el programa y el dólar estaba a $37, que cambió ahora? Se me escapa algo, no lo entiendo mucho, será que lo que cambió ahora es #ElPeorGobiernoDeLaHistoria;NEG;@usuario en la era ponía el precio del dólar en la esquina inferior derecha con marco rojo todo el programa y el dólar estaba a $37, que cambió ahora?  se me escapa algo, no lo entiendo mucho, será que lo que cambió ahora es el peor gobierno de la historia
1282;@mononomoto lo siento pero no veo el vitiligo,a veces es mejor no publicar,que hacerlo mal,la calidad🙃🧐😊😉 es fundamental;NEG;@usuario lo siento pero no veo el vitiligo,a veces es mejor no publicar,que hacerlo mal,la calidad emoji cara al revés emoji  emoji cara con monóculo emoji  emoji cara feliz con ojos sonrientes emoji  emoji cara guiñando el ojo emoji  es fundamental
113;"🛑#DEPORTES🛑

Juan Fernando Quintero confirmó su regreso a River Plate https://t.co/WwMZaGNLP9 Vía @LaJornadaco";POS;emoji señal de stop emoji deportes emoji señal de stop emoji   juan  fernando  quintero confirmó su regreso a  river  plate url  vía @usuario
822;"@LordMurielo Perdón a los queridos twitteros de CABA y/o AMBA, pero lo veo a este buen Sr y veo al estereotipo de poroteño chamuyero y fanfarrón que se la pasa el día en el bar.
Aclaro estéreotipo xq se q es un concepto basado en prejuicios que lamentablemente el encarna";NEG;"@usuario  perdón a los queridos twitteros de  caba y/o  amba, pero lo veo a este buen  sr y veo al estereotipo de poroteño chamuyero y fanfarrón que se la pasa el día en el bar.
 aclaro estéreotipo xq se q es un concepto basado en prejuicios que lamentablemente el encarna"
1782;"@namdarkfly Es que eres lindo, mi amor. &lt;33";POS;"@usuario  es que eres lindo, mi amor. &lt;33"
619;"Mi cabeza todo el dia: ""no veo la hora de que llegue el dominngooo,dejo todo lq tengo que hacer me voy a ver a River Plate""";POS;"mi cabeza todo el dia: ""no veo la hora de que llegue el dominngooo,dejo todo lq tengo que hacer me voy a ver a  river  plate"""
9;"@mruminahui @UBA_Quito su ayuda estos animalitos son parte de la comunidad de los Terracota y quisieramos conocer porque el Municipio de Ruminahui ha dado una semana para buscarles un hogar.Son parte de nuestro vivir y queremos que sigan aquí.
https://t.co/LQzf8KMb4L https://t.co/wrKHiuZrfT";NEG;"@usuario @usuario su ayuda estos animalitos son parte de la comunidad de los  terracota y quisieramos conocer porque el  municipio de  ruminahui ha dado una semana para buscarles un hogar. son parte de nuestro vivir y queremos que sigan aquí.
url url"
180;se busca acompañante para tomar una birra, requisitos: tener birra;POS;se busca acompañante para tomar una birra, requisitos: tener birra
1620;El Tano Pasman, hincha fanático de River, se encontró en un grama con Emmanuel Gigliotti tras su paso por Boca Juniors. El ahora 9 de Nacional contó sobre el penal que le cambió la vida https://t.co/IRTG8sdloL;POS;el  tano  pasman, hincha fanático de  river, se encontró en un grama con  emmanuel  gigliotti tras su paso por  boca  juniors.  el ahora 9 de  nacional contó sobre el penal que le cambió la vida url
791;@HazimNayib Wow si … Mira a  ! Excelente futbolista y asco de persona!;NEG;@usuario  wow si   mira a !  excelente futbolista y asco de persona!
13;@patito_purific @Honor_Leyenda @Cristiano Que nadie está hablando de dolor, aprende a leer. Yo como aficionado no lloro por eso, pero si me afecta y me da pena igual que cuando murió Maradona, Kobe, etc.;NEG;@usuario @usuario @usuario  que nadie está hablando de dolor, aprende a leer.  yo como aficionado no lloro por eso, pero si me afecta y me da pena igual que cuando murió  maradona,  kobe, etc.
1713;@Isabel66991411 A mi me gusta https://t.co/pL2E9t33aM;POS;@usuario  a mi me gusta url
1043;@SofiBAlonso Jajajajajaja dios, sos lo más;POS;@usuario  jjaja dios, sos lo más
594;@pampaIIIpelis Entró en precios cuidados;POS;@usuario  entró en precios cuidados
4;@Ojo_Kritico   tiene muchas mas posibilidades que  . Especialmente cuando salgan a la luz todos los problemas asociados a las medidas tomadas este mandato. Va a quedar pegado.;NEG;@usuario tiene muchas mas posibilidades que .  especialmente cuando salgan a la luz todos los problemas asociados a las medidas tomadas este mandato.  va a quedar pegado.
148;por que la gente es tan ridícula??????;NEG;por que la gente es tan ridícula???
117;Desde que entré al bar no hay un día que no tome birra, me esta empezando a dar un poco de culpa;NEG;desde que entré al bar no hay un día que no tome birra, me esta empezando a dar un poco de culpa
3;@Soledad_Acunia @gcba Y por q no impulsan abrir mas escuelas q ni   ni larrata construyeron ni una sola escuela o alimentar bien a los chicos no la basura con la q los alimentan;NEG;@usuario @usuario  y por q no impulsan abrir mas escuelas q ni ni larrata construyeron ni una sola escuela o alimentar bien a los chicos no la basura con la q los alimentan
672;"@soyfdelrincon ayer asistimos  ala masacre del inepto y burro sentado en Palacio de gobierno, hoy será la ""Estocada Final"" y sus Viudas @EIPeruano @RecuerdosPeru @LaSalitadelSin @jgodoym @Angelpaezs @Vero_Mendoza_F @NicolasLucar dirán Fujimori, Fujimori https://t.co/T7cbmPgS1Q";NEG;"@usuario ayer asistimos ala masacre del inepto y burro sentado en  palacio de gobierno, hoy será la "" estocada  final"" y sus  viudas @usuario @usuario @usuario @usuario @usuario @usuario @usuario dirán  fujimori,  fujimori url"
306;"https://t.co/OW6JMDQT4z 
Un tren descarriló y casi provoca una tragedia en Córdoba - El Diario de Carlos Paz https://t.co/v5GyPrmgTS";NEG;https://url  un tren descarriló y casi provoca una tragedia en  córdoba -  el  diario de  carlos  paz url
538;El posteo bien argentino y bostero de De Rossi desde Italia https://t.co/hVSB9nhbjs;POS;el posteo bien argentino y bostero de  de  rossi desde  italia url
58;@Miiilaaagros1 en la uba todavia ni abrió e;NEG;@usuario en la uba todavia ni abrió e
1200;@tc_carbonell Cualquier cosa después de Federer va a verse malo. El estilo del suizo es inigualable.;POS;@usuario  cualquier cosa después de  federer va a verse malo.  el estilo del suizo es inigualable.
967;@Alejand02707680 @nicovillegas8 Genio. Respeto, ponerla en primer lugar , muestra de amor. Ya no hay gente así de sencilla y así de genuina . Toda mi admiración.;POS;@usuario @usuario  genio.  respeto, ponerla en primer lugar , muestra de amor.  ya no hay gente así de sencilla y así de genuina .  toda mi admiración.
277;"     - INSTITUTO PATRIA:EN PAMI NO ATIENDEN EL TELEF 139 DE EMERGEN MÉDICAS.
139/139/139/139/139/ DE EMERG MÉDICAS.   FERNÁNDEZ  Q EJERCE LA PRESID DESDE EL PATRIA AVISE A SU HIJA PRÓDIGA LUANITA VOLNOVICH DE PAMI Q ATIENDA EL TE 139/139/139/139/139";NEG;"-  instituto  patria: en  pami  no  atienden  el  telef 139  de  emergen  mé dicas.
139/139/139/139/139/  de  emerg  mé dicas.  ferná ndez  q  ejerce  la  presid  desde  el  patria  avise  a  su  hija  pró diga  luanita  volnovich  de  pami  q  atienda  el  te 139/139/139/139/139"
1289;@santiguarderas tome la mejor decisión para #Quito y sin duda alguna ésa es aprobar el proyecto #Urkupamba que sin duda será un éxito @caro_vr Cecilia Pacheco. @Eddy_SanchezC https://t.co/L1LU8iLCvh;POS;@usuario tome la mejor decisión para quito y sin duda alguna ésa es aprobar el proyecto urkupamba que sin duda será un éxito @usuario  cecilia  pacheco. @usuario url
891;"Escándalo:Denuncian que una hija de   festejó su cumpleaños en JULIO DEL 2020, contagió de Covid a amigas y la mandaron a Miami en vuelo privado https://t.co/9G9s3ZASRj 

jose luis cabezas
#Censo2022 
bocha
alfredo yabran
barbados
#nadiedicenada 
#Navarro2023";NEG;"escándalo: denuncian que una hija de festejó su cumpleaños en  julio  del 2020, contagió de  covid a amigas y la mandaron a  miami en vuelo privado url jose luis cabezas
censo2022 bocha
alfredo yabran
barbados
nadiedicenada navarro2023"
26;"@OsoPandito Entrevista para Tesorero me preguntaron dónde estudiaba, respondí la UBA y me dice: Los de UBA son contadores de kiosco, y procedió a desarrollar el perfil de contador que egresaba de cada universidad (según su amplia experiencia 🙄). 
Me excuse y me fui.";NEG;@usuario  entrevista para  tesorero me preguntaron dónde estudiaba, respondí la  uba y me dice:  los de  uba son contadores de kiosco, y procedió a desarrollar el perfil de contador que egresaba de cada universidad (según su amplia experiencia  emoji cara con ojos en blanco emoji ).  me excuse y me fui.
946;@eldestapeweb @robdnavarro Que el ajuste de lo haga al INÚTIL .;NEG;@usuario @usuario  que el ajuste de lo haga al  inú til .
1103;"@RebeldisimaC ¡Hay q tener la cara como bigornia para gastar a alguien por esa boludez, bancando y posteando a la    , eh!
Sos una caricatura";NEG;"@usuario ¡ hay q tener la cara como bigornia para gastar a alguien por esa boludez, bancando y posteando a la , eh!
 sos una caricatura"
1251;"Sí, es mucho mejor, y si supieras que el Nescafé solo lo he probado de máquina! je je je. 

Aquí en casa compramos Motaña Real que distribuye Café puro, además, siempre traen de ese Bustelo, ese es fuerte. https://t.co/gB3lHOi3HT";POS;sí, es mucho mejor, y si supieras que el  nescafé solo lo he probado de máquina! je je je.  aquí en casa compramos  motaña  real que distribuye  café puro, además, siempre traen de ese  bustelo, ese es fuerte. url
483;"🚨 ATENCIÓN 🚨

Pol Fernández ya se encuentra de viaje rumbo a México

https://t.co/2xyaaWu8Iw";POS;emoji luces de policía emoji   atenció n  emoji luces de policía emoji   pol  fernández ya se encuentra de viaje rumbo a  méxico url
806;Últimamente me saca de quicio todo. Necesito estar en el sur, tomando una birra, comiendo queso y salame. Con la cabeza en blanco.;POS;últimamente me saca de quicio todo.  necesito estar en el sur, tomando una birra, comiendo queso y salame.  con la cabeza en blanco.
647;Nada espero tanto como los videos de Martí benza con las amigas en Mar del plata..;POS;nada espero tanto como los videos de  martí benza con las amigas en  mar del plata..
47;"🇦🇷 💼 ☀️ | # | #Temporada | #Costa 

 y su gabinete analizaron el avance de la temporada turística.

Se analizó que el fenómeno se da especialmente en la Costa Atlántica, que se encuentra recibiendo una afluencia récord de turistas.

https://t.co/KsDXbCmM2H https://t.co/uDM0kQwi5T";POS;emoji bandera argentina emoji   emoji maletín emoji   emoji sol emoji   emoji  #  emoji  temporada | costa y su gabinete analizaron el avance de la temporada turística.  se analizó que el fenómeno se da especialmente en la  costa  atlántica, que se encuentra recibiendo una afluencia récord de turistas. url url
30;"NADIE SABE ESTO!!
Los medios periodistas-basura NO lo van a decir!!
La militancia casaxcasa cara-cara desclarinizando al pueblo Ignorante....NO existe!, con su silencio e inacción trabaja para mañeto  !!
Solo una Secretaria de Información lo haría!! https://t.co/JKwwbXwcWN";NEG;"nadie  sabe  esto!!
 los medios periodistas-basura  no lo van a decir!!
 la militancia casaxcasa cara-cara desclarinizando al pueblo  ignorante... no existe!, con su silencio e inacción trabaja para mañeto !!
 solo una  secretaria de  información lo haría!! url"
1869;@VLADIMIR_CERRON Vladimir, tu falta de amor por el país ha quedado demostrado al escoger a Castillo y Boluarte para armar esa plancha. Un total ignorante y una señora sin valores son los que gracias a Ti están en el Ejecutivo. Odias al Perú, solo quieres aprovecharte del pueblo.;NEG;@usuario  vladimir, tu falta de amor por el país ha quedado demostrado al escoger a  castillo y  boluarte para armar esa plancha.  un total ignorante y una señora sin valores son los que gracias a  ti están en el  ejecutivo.  odias al  perú, solo quieres aprovecharte del pueblo.
1736;"Vi los videos del concierto del Taekook, que lindo fue todo &lt;3";POS;"vi los videos del concierto del  taekook, que lindo fue todo &lt;3"
1010;"No, como todo el gabinete k. 
Alberso y  tampoco, es una obviedad. https://t.co/NDbKw8p4sx";NEG;no, como todo el gabinete k.  alberso y tampoco, es una obviedad. url
1223;amo jajaja;POS;amo jaja
1076;@LANACION Qué asesinos... cuando saben que las vacunas no son necesarias en los chicos. A , la corrieron de éste tema, cuando se murió la nena en tucumán. Los dueños del dinero, buscan matarnos sin asco.;NEG;@usuario  qué asesinos... cuando saben que las vacunas no son necesarias en los chicos.  a , la corrieron de éste tema, cuando se murió la nena en tucumán.  los dueños del dinero, buscan matarnos sin asco.
1357;@ibepacheco Es un capo;POS;@usuario  es un capo
381;"🔴Ahora en #TiempoDeportivo 🚴🏼♀️🤾🏻♂️⛹🏻♀️🏀⚽

📞Robertino Pezzota, N° 1 ranking nacional de #Squash
""Muy contento de realizar esta gira de pretemporada por la patagonia.Voy a ir recorriendo todo el sur argentino. La idea es llegar al ranking que tenía (70° del mundo)"" https://t.co/SRJbCMZB2A";POS;"emoji círculo rojo grande emoji  ahora en tiempo deportivo  emoji persona en bicicleta tono de piel claro medio emoji  emoji persona jugando al balonmano tono de piel claro emoji  emoji tono de piel claro emoji  emoji balón de baloncesto emoji  emoji balón de fútbol emoji   emoji auricular de teléfono emoji  robertino  pezzota,  n 1 ranking nacional de squash
"" muy contento de realizar esta gira de pretemporada por la patagonia. voy a ir recorriendo todo el sur argentino.  la idea es llegar al ranking que tenía (70 del mundo)"" url"
1006;Paritarias bonaerenses: qué le pedirán los gremios al gobierno de Kicillof. ✍️ @jornaveiro. https://t.co/SYSaq2ZT8a https://t.co/0L7kX1V0zY;POS;paritarias bonaerenses: qué le pedirán los gremios al gobierno de  kicillof.  emoji mano escribiendo emoji  @usuario. url url
144;¿En Barbados firmará en un estudio de abogados la prorroga de la cuenta offshore a su nombre con los fondos, a modo de honorarios, para ser presidente de la nación donde el poder lo tiene  ?;NEG;¿ en  barbados firmará en un estudio de abogados la prorroga de la cuenta offshore a su nombre con los fondos, a modo de honorarios, para ser presidente de la nación donde el poder lo tiene ?
2039;@erauncrass @estefano74 Este tío es el puto amo;POS;@usuario @usuario  este tío es el puto amo
427;@LicMacoco Sabías que esa frecuencia de la radio AM trucha se la robaron a la Radio Falkland de   ? Antes que esa propaladora de mierda saliera al aire, radio   se escuchaba siempre en Mar del Plata ...;NEG;@usuario  sabías que esa frecuencia de la radio  am trucha se la robaron a la  radio  falkland de ?  antes que esa propaladora de mierda saliera al aire, radio se escuchaba siempre en  mar del  plata ...
1348;@_catarata Ciudad Autónoma de Buenos Aires: LLUEVE.;NEG;@usuario  ciudad  autónoma de  buenos  aires:  llueve.
836;Diego no sabe cuánto necesitaba esa frase. No sé qué me pasa a mí con   en serio. https://t.co/fOIovM5Epv;POS;diego no sabe cuánto necesitaba esa frase.  no sé qué me pasa a mí con en serio. url
1720;"Últimamente me gusta cuestionarme todo...
El año pasado me cuestioné el por qué tengo que trabajar tanto? y por qué no solo cobro más caro y ya 

Un pensamiento tal vez lógico para algunos, pero como cuesta trabajo llegar a la acción. Me atreví y no regrets https://t.co/XrXPyGF2Zm";POS;"últimamente me gusta cuestionarme todo...
 el año pasado me cuestioné el por qué tengo que trabajar tanto? y por qué no solo cobro más caro y ya  un pensamiento tal vez lógico para algunos, pero como cuesta trabajo llegar a la acción.  me atreví y no regrets url"
1456;@DiDi_Mexico ¡¿Que les pasa?!, eso es trabajo de ustedes, no mío, aparte de ser la aplicación que más cobra de comisiones es la más nefasta, con Uber y con Beat no tuve ningún problema para facturar, Ojo @SATMX con sus estrategias de evasión fiscal de @DiDi_Mexico.;NEG;@usuario ¡¿ que les pasa?!, eso es trabajo de ustedes, no mío, aparte de ser la aplicación que más cobra de comisiones es la más nefasta, con  uber y con  beat no tuve ningún problema para facturar,  ojo @usuario con sus estrategias de evasión fiscal de @usuario.
727;Bueno al final vamos mañana a pinamar pero ahora estoy yendo a aquopolis a stremear los toboganes de agua;POS;bueno al final vamos mañana a pinamar pero ahora estoy yendo a aquopolis a stremear los toboganes de agua
1533;@Barrbaramarisol 20:37 tomando una birra en Patagonia: “Para mi las milis te querían manotear la cámara”;POS;"@usuario 20:37 tomando una birra en  patagonia: "" para mi las milis te querían manotear la cámara"""
1575;Mañana se rompe ese asadito padreee;POS;mañana se rompe ese asadito padreee
1445;@sofiwini Yo, volviendo de la Patagonia.. Estimo 1 semana máximo para tachar alguna de las dos...;POS;@usuario  yo, volviendo de la  patagonia..  estimo 1 semana máximo para tachar alguna de las dos...
404;"Gran amanecer en las costas de #ComodoroRivadavia 😉

👉Date una vuelta, https://t.co/rqfKVFQWob

📷@eduardo21212 😃

#Patagonia #Patagonian #patagoniaargentina #argentina #viajes #chubut https://t.co/ovV3i9xloB https://t.co/TlHUrPzIOr";POS;gran amanecer en las costas de comodoro rivadavia  emoji cara guiñando el ojo emoji   emoji dorso de mano con índice a la derecha emoji  date una vuelta, url  emoji cámara de fotos emoji @usuario  emoji cara sonriendo con ojos grandes emoji  patagonia patagonian patagoniaargentina argentina viajes chubut url url
75;Era !!! https://t.co/UsYEvwXTIk;NEG;era !!! url
1436;"Volver a mis pagos, aunque sea por unos días, siempre me hace feliz ✌🏻❤️
#patagonia https://t.co/prLiTZEtHw";POS;volver a mis pagos, aunque sea por unos días, siempre me hace feliz  emoji mano con señal de victoria tono de piel claro emoji  patagonia url
557;¡FICHAJE AZUL Y ORO! Gonzalo Figal 🇦🇷 fue anunciado como nuevo jugador de Boca Juniors 🔵🟡 de Sebastián Battaglia 🧠🇦🇷. De esta manera, el exfutbolista del Inter Miami 🇺🇲 compartirá 👬 equipo con nuestros compatriotas ⚽️ Carlos Zambrano 🛡 y Luis Advíncula ⚡️. #DependeDeTi https://t.co/EnO50H0OrX;POS;¡ fichaje  azul  y  oro!  gonzalo  figal  emoji bandera argentina emoji  fue anunciado como nuevo jugador de  boca  juniors  emoji círculo azul grande emoji  emoji círculo amarillo emoji  de  sebastián  battaglia  emoji cerebro emoji  emoji bandera argentina emoji .  de esta manera, el exfutbolista del  inter  miami  emoji bandera islas menores alejadas de ee. uu. emoji  compartirá  emoji hombres de la mano emoji  equipo con nuestros compatriotas  emoji balón de fútbol emoji   carlos  zambrano  emoji escudo emoji  y  luis  advíncula  emoji alto voltaje emoji . depende de ti url
580;20 palos por Robert brito es lo mejor que le pasó al club atlético river plate https://t.co/UArnTn4G5Y;POS;20 palos por  robert brito es lo mejor que le pasó al club atlético river plate url
287;"El regreso con el que sueña River Plate

https://t.co/mWk1KL36oY";POS;el regreso con el que sueña  river  plate url
1585;Hoy es el aniversario de Virginia Woolf. La escritora que me acompaña siempre, mi esteta de la palabra favorita, la genia de ver lo bello (y el horror) en la cotidianidad. Hoy brindo por ella.;POS;hoy es el aniversario de  virginia  woolf.  la escritora que me acompaña siempre, mi esteta de la palabra favorita, la genia de ver lo bello (y el horror) en la cotidianidad.  hoy brindo por ella.
1491;"El Consejo Agroindustrial Argentino (CAA) señala
""Atender esta crisis climática con medidas puntuales es únicamente paliativo que no impiden la exposición permanente a este tipo de riesgos incrementales"". https://t.co/TfPkM4khOv";POS;"el  consejo  agroindustrial  argentino ( caa) señala
"" atender esta crisis climática con medidas puntuales es únicamente paliativo que no impiden la exposición permanente a este tipo de riesgos incrementales"". url"
1894;@NicolasMaduro Buenas tardes sr presidente nicolas maduro soy un padre de 2 niños con discapacidad mi padre enfermo mi esposa y yo también estamos enfermo estamos en situación de vulnerabilidad necesito de su ayuda por el amor a dios este es mi número 04149681333;NEG;@usuario  buenas tardes sr presidente nicolas maduro soy un padre de 2 niños con discapacidad mi padre enfermo mi esposa y yo también estamos enfermo estamos en situación de vulnerabilidad necesito de su ayuda por el amor a dios este es mi número 04149681333
905;@elmejordelresto Para todos esos neófitos que claman que hamilton es el mejor de todos los tiempos, que Dios todo poderoso tenga piedad de sus almas ignorantes!!;NEG;@usuario  para todos esos neófitos que claman que hamilton es el mejor de todos los tiempos, que  dios todo poderoso tenga piedad de sus almas ignorantes!!
